cohort,record_id,subject_id,record_path,cache_path,num_beats,num_segments
"01.Holter(Local Clinic), 124 records)",DN013_7119_20210806,"01.Holter(Local Clinic), 124 records)::DN013","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN013_7119_20210806.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN013_7119_20210806",58589,8
"01.Holter(Local Clinic), 124 records)",DN094_7149_20211015,"01.Holter(Local Clinic), 124 records)::DN094","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN094_7149_20211015.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN094_7149_20211015",67398,17
"01.Holter(Local Clinic), 124 records)",DN078_7149_20210831,"01.Holter(Local Clinic), 124 records)::DN078","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN078_7149_20210831.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN078_7149_20210831",74657,25
"01.Holter(Local Clinic), 124 records)",DN033_7128_20210925,"01.Holter(Local Clinic), 124 records)::DN033","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN033_7128_20210925.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN033_7128_20210925",70366,65
"01.Holter(Local Clinic), 124 records)",DN112_7150_20210928,"01.Holter(Local Clinic), 124 records)::DN112","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN112_7150_20210928.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN112_7150_20210928",51094,26
"01.Holter(Local Clinic), 124 records)",DN014_7119_20210820,"01.Holter(Local Clinic), 124 records)::DN014","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN014_7119_20210820.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN014_7119_20210820",57231,90
"01.Holter(Local Clinic), 124 records)",DN110_7150_20210923,"01.Holter(Local Clinic), 124 records)::DN110","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN110_7150_20210923.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN110_7150_20210923",22914,252
"01.Holter(Local Clinic), 124 records)",DN089_7149_20211001,"01.Holter(Local Clinic), 124 records)::DN089","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN089_7149_20211001.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN089_7149_20211001",66704,21
"01.Holter(Local Clinic), 124 records)",DN075_7149_20210824,"01.Holter(Local Clinic), 124 records)::DN075","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN075_7149_20210824.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN075_7149_20210824",56227,27
"01.Holter(Local Clinic), 124 records)",DN093_7149_20211014,"01.Holter(Local Clinic), 124 records)::DN093","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN093_7149_20211014.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN093_7149_20211014",67248,5
"01.Holter(Local Clinic), 124 records)",DN123_7258_20211021,"01.Holter(Local Clinic), 124 records)::DN123","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN123_7258_20211021.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN123_7258_20211021",1001,1
"01.Holter(Local Clinic), 124 records)",DN107_7150_20210914,"01.Holter(Local Clinic), 124 records)::DN107","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN107_7150_20210914.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN107_7150_20210914",62688,155
